dog_ID,dog_name,survey_ID,survey_token,date_of_birth,test_date,test_time,sex,stranger_name,object_combination,trial_number,condition_id,owner_presence,stranger_presence,owner_chair,stranger_chair,head_centre-snout,ear-ear,ear-head_centre
31,Amelie,32,31,1.6.2012.,28.9.2020.,16,F,Blaz,3-13-2-5,1,pa,p,a,door,window,18,14,11
31,Amelie,32,31,1.6.2012.,28.9.2020.,16,F,Blaz,7-14-15-12,2,ap,a,p,door,window,18,14,11
31,Amelie,32,31,1.6.2012.,28.9.2020.,16,F,Blaz,11-6-16-8,3,aa,a,a,door,window,18,14,11
31,Amelie,32,31,1.6.2012.,28.9.2020.,16,F,Blaz,9-10-4-1,4,pp,p,p,door,window,18,14,11
32,Beli,33,32,17.6.2017.,28.9.2020.,16,F,Blaz,2-14-16-9,1,pa,p,a,window,door,14,14,8
32,Beli,33,32,17.6.2017.,28.9.2020.,16,F,Blaz,13-11-7-6,2,ap,a,p,window,door,14,14,8
32,Beli,33,32,17.6.2017.,28.9.2020.,16,F,Blaz,5-1-10-4,3,pp,p,p,window,door,14,14,8
32,Beli,33,32,17.6.2017.,28.9.2020.,16,F,Blaz,12-8-15-3,4,aa,a,a,window,door,14,14,8
33,Mira3,34,33,22.1.2014.,16.9.2020.,13:30,F,Nora,16-10-15-11,1,pa,p,a,door,window,16,14,9
33,Mira3,34,33,22.1.2014.,16.9.2020.,13:30,F,Nora,7-4-12-8,2,pp,p,p,door,window,16,14,9
33,Mira3,34,33,22.1.2014.,16.9.2020.,13:30,F,Nora,14-13-2-6,3,ap,a,p,door,window,16,14,9
33,Mira3,34,33,22.1.2014.,16.9.2020.,13:30,F,Nora,3-1-5-9,4,aa,a,a,door,window,16,14,9
34,Emi,37,36,4.8.2014.,16.9.2020.,13:30,M,Nora,13-3-5-10,1,pa,p,a,window,door,15,12,7
34,Emi,37,36,4.8.2014.,16.9.2020.,13:30,M,Nora,7-16-6-14,2,pp,p,p,window,door,15,12,7
34,Emi,37,36,4.8.2014.,16.9.2020.,13:30,M,Nora,12-4-15-2,3,aa,a,a,window,door,15,12,7
34,Emi,37,36,4.8.2014.,16.9.2020.,13:30,M,Nora,1-8-9-11,4,ap,a,p,window,door,15,12,7
35,Akito,38,37,17.6.2013.,18.9.2020.,10:30,M,Ana,11-2-7-3,1,pa,p,a,door,window,16,13.5,9
35,Akito,38,37,17.6.2013.,18.9.2020.,10:30,M,Ana,6-1-9-16,2,aa,a,a,door,window,16,13.5,9
35,Akito,38,37,17.6.2013.,18.9.2020.,10:30,M,Ana,13-4-5-15,3,ap,a,p,door,window,16,13.5,9
35,Akito,38,37,17.6.2013.,18.9.2020.,10:30,M,Ana,10-14-12-8,4,pp,p,p,door,window,16,13.5,9
36,Dubangi,39,38,16.6.2017.,18.9.2020.,10:30,M,Ana,8-15-6-9,1,pa,p,a,window,door,17,13,7.5
36,Dubangi,39,38,16.6.2017.,18.9.2020.,10:30,M,Ana,10-16-14-3,2,aa,a,a,window,door,17,13,7.5
36,Dubangi,39,38,16.6.2017.,18.9.2020.,10:30,M,Ana,12-4-5-2,3,pp,p,p,window,door,17,13,7.5
36,Dubangi,39,38,16.6.2017.,18.9.2020.,10:30,M,Ana,11-13-7-1,4,ap,a,p,window,door,17,13,7.5
37,Asta2,35,34,5.10.2018.,23.9.2020.,11:30,F,Nora,2-11-8-4,1,ap,a,p,door,window,14,12,8
37,Asta2,35,34,5.10.2018.,23.9.2020.,11:30,F,Nora,5-14-13-15,2,pa,p,a,door,window,14,12,8
37,Asta2,35,34,5.10.2018.,23.9.2020.,11:30,F,Nora,12-3-7-16,3,pp,p,p,door,window,14,12,8
37,Asta2,35,34,5.10.2018.,23.9.2020.,11:30,F,Nora,10-1-6-9,4,aa,a,a,door,window,14,12,8
39,Yuki5,40,39,1.2.2018.,22.9.2020.,11,F,Blaz,12-15-8-3,1,ap,a,p,door,window,16,10,7
39,Yuki5,40,39,1.2.2018.,22.9.2020.,11,F,Blaz,13-7-11-6,2,aa,a,a,door,window,16,10,7
39,Yuki5,40,39,1.2.2018.,22.9.2020.,11,F,Blaz,10-9-16-5,3,pp,p,p,door,window,16,10,7
39,Yuki5,40,39,1.2.2018.,22.9.2020.,11,F,Blaz,1-14-2-4,4,pa,p,a,door,window,16,10,7
40,Flee,41,40,4.3.2019.,22.9.2020.,11,M,Blaz,10-9-6-12,2,aa,a,a,window,door,17,13,8
40,Flee,41,40,4.3.2019.,22.9.2020.,11,M,Blaz,14-8-4-11,3,pa,p,a,window,door,17,13,8
40,Flee,41,40,4.3.2019.,22.9.2020.,11,M,Blaz,5-3-7-2,4,pp,p,p,window,door,17,13,8
40,Flee,41,40,4.3.2019.,22.9.2020.,11,M,Blaz,16-1-13-15,1,ap,a,p,window,door,17,13,8
